problem,experiment_id,experiment_name,status,model,dataset_split,feature_version,config_path,metrics_path,checkpoint_path,prediction_path,purpose,paper_role,notes
Q1,q1_100_samples,Q1 fixed 50-window features,RECORDED,feature extraction and temporal alignment,attachment1_unlabeled,Q1_K50_128_74_52,E题/Q1/feature_config.yaml,E题/Q1/validation_report.json,,,100-sample feature extraction,FINAL,E题/Q1/q1_features.npz
Q3,04_gate_regularized,04_gate_regularized,RECORDED,04_gate_regularized,valid,aligned_50,E题/Q3/configs/q3_v2_gate_regularized.yaml,E题/Q3/outputs/q3_v2/04_gate_regularized/valid_metrics.json,,E题/Q3/outputs/q3_v2/04_gate_regularized/valid_predictions.csv,v2 validation prediction,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,05_router_diagnostic,05_router_diagnostic,RECORDED,05_router_diagnostic,valid,aligned_50,E题/Q3/configs/q3_v2_router_diagnostic.yaml,E题/Q3/outputs/q3_v2/05_router_diagnostic/valid_metrics.json,,E题/Q3/outputs/q3_v2/05_router_diagnostic/valid_predictions.csv,v2 validation prediction,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B1/budget_015,B1/budget_015,RECORDED,B1/budget_015,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_015/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_015/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B1/budget_020,B1/budget_020,RECORDED,B1/budget_020,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_020/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_020/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B1/budget_025,B1/budget_025,RECORDED,B1/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_025/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B1/budget_025/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B2/budget_025,B2/budget_025,RECORDED,B2/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B2/budget_025/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B2/budget_025/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B3/budget_015,B3/budget_015,RECORDED,B3/budget_015,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_015/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_015/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B3/budget_020,B3/budget_020,RECORDED,B3/budget_020,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_020/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_020/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B3/budget_025,B3/budget_025,RECORDED,B3/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_025/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B3/budget_025/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B4/budget_025,B4/budget_025,RECORDED,B4/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B4/budget_025/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B4/budget_025/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,B5/budget_025,B5/budget_025,RECORDED,B5/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/B5/budget_025/valid_faithfulness_v2.json,,E题/Q3/outputs/q3_v2/faithfulness/B5/budget_025/valid_explanations.csv,faithfulness on validation,ABLATION,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,final_b1_router/budget_025,final_b1_router/budget_025,RECORDED,final_b1_router/budget_025,valid,aligned_50,E题/Q3/configs/q3_v2_final.yaml,E题/Q3/outputs/q3_v2/faithfulness/final_b1_router/budget_025/valid_faithfulness_v2.json,E题/Q3/outputs/q3_v2/final_model.pt,E题/Q3/outputs/q3_v2/faithfulness/final_b1_router/budget_025/valid_explanations.csv,faithfulness on validation,FINAL,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,attachment4_v2,attachment4_v2,RECORDED,attachment4_v2,attachment4_unlabeled,aligned_50,E题/Q3/configs/q3_v2_final.yaml,,E题/Q3/outputs/q3_v2/final_model.pt,E题/Q3/outputs/q3_v2/attachment4/attachment4_predictions_explanations.csv,unlabeled attachment4 inference,FINAL,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
Q3,legacy_q3,legacy_q3,RECORDED,legacy_q3,valid,aligned_50,E题/Q3/configs/q3_aligned.yaml,E题/Q3/outputs/q3/valid_metrics.json,E题/Q3/outputs/q3/best_cls.pt,E题/Q3/outputs/q3/valid_predictions.csv,prior Q3 results,HISTORICAL,Only files in repository are indexed; an empty checkpoint path does not imply no remote weight exists.
