sample,main_global,main_position,agreement
TYJzg5IJN8o$_$10,text,text,True
TYJzg5IJN8o$_$14,text,text,True
TYJzg5IJN8o$_$0,text,text,True
TYJzg5IJN8o$_$4,vision,vision,True
TYJzg5IJN8o$_$7,text,text,True
Uc_6d-fkZEc$_$3,text,text,True
UlTJmndbGHM$_$1,text,text,True
UlTJmndbGHM$_$4,text,text,True
VbV9S4svrTg$_$13,text,text,True
VbV9S4svrTg$_$3,text,text,True
VbV9S4svrTg$_$7,text,text,True
VbV9S4svrTg$_$8,text,text,True
VinxKpWioTo$_$1,text,text,True
VinxKpWioTo$_$0,vision,vision,True
VinxKpWioTo$_$3,text,text,True
VinxKpWioTo$_$5,text,text,True
ViyQVpGW05w$_$1,vision,text,False
ViyQVpGW05w$_$4,text,text,True
ViyQVpGW05w$_$6,text,text,True
Vuay0mVKkik$_$3,text,text,True
WmQF5RmbsVQ$_$6,vision,vision,True
Wrcf2xtqbkQ$_$9,text,text,True
Wrcf2xtqbkQ$_$8,vision,vision,True
WxajvjGKz7Y$_$0,text,text,True
WxajvjGKz7Y$_$3,vision,vision,True
WxajvjGKz7Y$_$6,vision,vision,True
XIGpuL-Kkyk$_$12,vision,vision,True
XIGpuL-Kkyk$_$0,text,text,True
XIGpuL-Kkyk$_$4,text,text,True
XIGpuL-Kkyk$_$7,vision,vision,True
XaVYxIW0FDg$_$2,text,text,True
XyP8bVmGX6M$_$4,text,vision,False
XzVapdEr_GY$_$3,text,text,True
XzVapdEr_GY$_$4,text,text,True
Y7h-S3cJ52o$_$0,vision,vision,True
Y7qkyMyanjU$_$2,vision,vision,True
Y7qkyMyanjU$_$4,vision,vision,True
YbuG8xyUO-o$_$3,text,text,True
YbuG8xyUO-o$_$2,text,text,True
Z7L3V5bwzI0$_$2,text,text,True
ZaoFHcbRM9g$_$3,text,vision,False
ZaoFHcbRM9g$_$2,text,text,True
ZaoFHcbRM9g$_$5,text,vision,False
ZaoFHcbRM9g$_$9,text,text,True
ZaoFHcbRM9g$_$8,text,text,True
Zvisaa77Cng$_$1,text,text,True
Zvisaa77Cng$_$5,text,text,True
_7HVhnSYX1Y$_$26,text,vision,False
_7HVhnSYX1Y$_$12,text,vision,False
_7HVhnSYX1Y$_$14,text,vision,False
_7HVhnSYX1Y$_$19,vision,vision,True
_7HVhnSYX1Y$_$31,text,text,True
_7HVhnSYX1Y$_$3,vision,vision,True
_BvNNdEkhZA$_$14,text,text,True
_BvNNdEkhZA$_$19,vision,vision,True
_BvNNdEkhZA$_$7,vision,vision,True
_BvNNdEkhZA$_$6,text,text,True
_BvNNdEkhZA$_$9,text,text,True
_aZDaIfGfPo$_$1,text,text,True
_aZDaIfGfPo$_$0,vision,vision,True
_gr7o5ynhnw$_$13,vision,vision,True
_gr7o5ynhnw$_$12,text,vision,False
_gr7o5ynhnw$_$15,text,text,True
_gzYkdjNvPc$_$12,vision,vision,True
_gzYkdjNvPc$_$17,text,text,True
_gzYkdjNvPc$_$1,vision,vision,True
_gzYkdjNvPc$_$3,vision,vision,True
_gzYkdjNvPc$_$2,text,text,True
_gzYkdjNvPc$_$5,vision,vision,True
_gzYkdjNvPc$_$4,vision,vision,True
_gzYkdjNvPc$_$6,vision,vision,True
_gzYkdjNvPc$_$9,text,text,True
a-WihYDk6vc$_$8,vision,vision,True
a-WihYDk6vc$_$0,text,text,True
aFhc2ddipoM$_$14,text,text,True
aK5tRCXjUvU$_$0,vision,text,False
b-FX9NOVQOM$_$1,text,text,True
b-FX9NOVQOM$_$4,text,text,True
b1LEcg6z66g$_$0,text,text,True
b1LEcg6z66g$_$4,text,text,True
b1LEcg6z66g$_$8,text,text,True
bAkUEnPoucg$_$3,text,text,True
bNQkb4K5DX0$_$3,text,text,True
bNQkb4K5DX0$_$7,text,text,True
bWunvAd96zI$_$1,text,text,True
bWunvAd96zI$_$2,text,text,True
bWunvAd96zI$_$5,text,vision,False
bWunvAd96zI$_$4,text,text,True
bj9e8w4vNxo$_$12,text,text,True
bpvYdXVlgvc$_$1,text,vision,False
bpvYdXVlgvc$_$3,text,text,True
bpvYdXVlgvc$_$4,text,text,True
bpvYdXVlgvc$_$6,text,text,True
c1a1y9ytHH0$_$0,text,text,True
c1a1y9ytHH0$_$3,vision,text,False
c1a1y9ytHH0$_$7,vision,vision,True
c5cB7AfVgcE$_$12,vision,vision,True
c5cB7AfVgcE$_$5,vision,vision,True
d8BR6hsvzoY$_$1,vision,vision,True
d8BR6hsvzoY$_$0,text,text,True
d8BR6hsvzoY$_$2,vision,vision,True
d8BR6hsvzoY$_$5,text,text,True
d8BR6hsvzoY$_$6,text,text,True
d8BR6hsvzoY$_$9,text,text,True
d8BR6hsvzoY$_$8,vision,vision,True
dBWvtPeHpWM$_$4,text,text,True
dEDbm2ubVRQ$_$0,text,text,True
dEDbm2ubVRQ$_$3,text,text,True
dEDbm2ubVRQ$_$8,vision,vision,True
dt641WxonBI$_$1,text,text,True
dt641WxonBI$_$3,text,text,True
eOiC1kb17P4$_$0,text,text,True
erNDEjQeox8$_$12,text,text,True
ewBrNsyY82Q$_$4,vision,vision,True
fWOIAxzBQFY$_$12,text,text,True
fWOIAxzBQFY$_$5,text,text,True
fWOIAxzBQFY$_$7,text,vision,False
f_ZJ7L14oYQ$_$11,vision,vision,True
f_ZJ7L14oYQ$_$27,vision,vision,True
f_ZJ7L14oYQ$_$21,text,text,True
f_ZJ7L14oYQ$_$17,vision,text,False
f_ZJ7L14oYQ$_$9,text,text,True
f_ZJ7L14oYQ$_$8,text,text,True
ffrJ91swyq0$_$1,text,text,True
g8Cl74tS3oY$_$2,text,text,True
g8Cl74tS3oY$_$6,text,text,True
gR4gM_WXesQ$_$10,text,text,True
gR4gM_WXesQ$_$26,text,text,True
gR4gM_WXesQ$_$20,vision,vision,True
gR4gM_WXesQ$_$24,vision,vision,True
gR4gM_WXesQ$_$18,text,text,True
gR4gM_WXesQ$_$3,text,text,True
gR4gM_WXesQ$_$4,text,text,True
gR4gM_WXesQ$_$8,vision,vision,True
gVqs4TzqySw$_$1,text,text,True
gVqs4TzqySw$_$3,vision,vision,True
gVqs4TzqySw$_$2,vision,vision,True
gVqs4TzqySw$_$4,vision,vision,True
goMtnNHQ_z4$_$1,text,text,True
goMtnNHQ_z4$_$2,text,text,True
goMtnNHQ_z4$_$13,text,text,True
goMtnNHQ_z4$_$12,text,text,True
hqzF4IDaIYE$_$0,text,text,True
hqzF4IDaIYE$_$3,text,text,True
hqzF4IDaIYE$_$2,text,text,True
hqzF4IDaIYE$_$4,vision,vision,True
hqzF4IDaIYE$_$6,text,text,True
hvfaYsv7p8E$_$0,text,text,True
iUXqlrui25c$_$10,text,text,True
iUXqlrui25c$_$21,vision,vision,True
iUXqlrui25c$_$23,vision,text,False
icbUzboLcDQ$_$0,text,vision,False
ioupaiAuRr0$_$5,text,text,True
ioupaiAuRr0$_$4,vision,vision,True
jICmfLeFymA$_$16,text,text,True
jPrEKz1rAno$_$11,vision,vision,True
jPrEKz1rAno$_$7,vision,vision,True
jPrEKz1rAno$_$6,vision,vision,True
k5ZOshC2LP4$_$1,text,text,True
kbGhEJ4W44o$_$0,vision,text,False
kfsO4c0Ekes$_$7,text,text,True
kvUb78Rdzdc$_$3,text,text,True
lO87-4Kf0cQ$_$2,vision,text,False
lO87-4Kf0cQ$_$5,vision,vision,True
lWf5hHRHIDs$_$11,text,text,True
lawHYX5eB20$_$1,vision,vision,True
lawHYX5eB20$_$2,vision,vision,True
mHGaQ_nv9UY$_$13,vision,vision,True
mHGaQ_nv9UY$_$14,vision,vision,True
mHGaQ_nv9UY$_$17,vision,vision,True
mHGaQ_nv9UY$_$22,text,text,True
mHGaQ_nv9UY$_$5,text,text,True
mHGaQ_nv9UY$_$4,text,text,True
mLW-jn67gRE$_$20,text,text,True
mLW-jn67gRE$_$17,vision,vision,True
mLW-jn67gRE$_$1,text,text,True
mLW-jn67gRE$_$3,vision,text,False
mLW-jn67gRE$_$5,text,text,True
mLW-jn67gRE$_$6,text,text,True
mLW-jn67gRE$_$9,vision,text,False
mjpCK2Edsv8$_$0,text,text,True
nUZYqTRSGDw$_$4,text,text,True
nyzIL6YAonY$_$5,text,text,True
nyzIL6YAonY$_$6,vision,vision,True
ooAF6I-fmTg$_$3,text,text,True
ooAF6I-fmTg$_$5,vision,vision,True
ooAF6I-fmTg$_$7,text,text,True
pOrk7fl1AYo$_$1,text,text,True
pOrk7fl1AYo$_$3,vision,vision,True
pOrk7fl1AYo$_$2,text,text,True
pOrk7fl1AYo$_$4,text,text,True
q9yDL81QppI$_$1,vision,vision,True
q9yDL81QppI$_$0,vision,vision,True
q9yDL81QppI$_$2,vision,vision,True
qK77ZmbqmOM$_$9,vision,vision,True
qK77ZmbqmOM$_$0,vision,text,False
qY1sXq-YCHs$_$8,text,text,True
qmMSumMloAs$_$1,text,text,True
qmMSumMloAs$_$3,text,text,True
qmMSumMloAs$_$2,text,text,True
r13W4H8ZhqI$_$12,vision,vision,True
r13W4H8ZhqI$_$1,vision,vision,True
r13W4H8ZhqI$_$5,vision,vision,True
r13W4H8ZhqI$_$8,text,vision,False
r5ijC2W9ddk$_$8,text,text,True
r5ijC2W9ddk$_$0,text,text,True
r9tgDqXEcuc$_$4,vision,vision,True
rf0yDSeVEUA$_$1,text,text,True
rf0yDSeVEUA$_$0,text,text,True
rf0yDSeVEUA$_$3,text,text,True
rojyUp4FPSg$_$26,text,text,True
rojyUp4FPSg$_$20,vision,vision,True
rojyUp4FPSg$_$21,text,text,True
rojyUp4FPSg$_$23,text,text,True
rojyUp4FPSg$_$5,vision,text,False
rojyUp4FPSg$_$7,text,text,True
rojyUp4FPSg$_$9,text,text,True
rojyUp4FPSg$_$10,text,text,True
rojyUp4FPSg$_$12,text,text,True
rojyUp4FPSg$_$16,vision,vision,True
rojyUp4FPSg$_$18,vision,vision,True
rojyUp4FPSg$_$37,text,text,True
rojyUp4FPSg$_$36,text,text,True
rojyUp4FPSg$_$34,text,text,True
rojyUp4FPSg$_$32,text,text,True
rwNlqh0k1j4$_$15,text,text,True
rwNlqh0k1j4$_$3,text,text,True
rwNlqh0k1j4$_$2,vision,vision,True
rwNlqh0k1j4$_$7,text,text,True
sC16n1k66io$_$2,text,text,True
sC16n1k66io$_$16,text,text,True
sPremsknoLM$_$1,text,text,True
ssqiwP19JhM$_$10,vision,text,False
ssqiwP19JhM$_$2,text,text,True
szic2IB9HB4$_$5,text,text,True
tQ-CIfgj-Js$_$3,vision,text,False
tXQpm-nKxNA$_$5,text,text,True
tXQpm-nKxNA$_$7,text,text,True
uacdDoBtT1k$_$0,text,text,True
uacdDoBtT1k$_$6,text,text,True
unNY4zIk8MM$_$1,text,text,True
unNY4zIk8MM$_$3,vision,vision,True
unNY4zIk8MM$_$5,text,text,True
unNY4zIk8MM$_$8,text,text,True
uooIiW6dEyg$_$1,text,text,True
uooIiW6dEyg$_$5,vision,vision,True
v2Rr-EsJda8$_$0,text,text,True
v2Rr-EsJda8$_$6,text,text,True
v9gjg7TDlTA$_$0,text,text,True
v9gjg7TDlTA$_$4,text,text,True
vHzbn_YW76s$_$3,text,text,True
vU0a4F36Ksw$_$13,vision,vision,True
vU0a4F36Ksw$_$12,text,vision,False
vU0a4F36Ksw$_$17,vision,vision,True
vU0a4F36Ksw$_$0,text,text,True
vU0a4F36Ksw$_$3,text,text,True
vU0a4F36Ksw$_$5,vision,vision,True
vU0a4F36Ksw$_$7,vision,vision,True
vU0a4F36Ksw$_$20,vision,vision,True
vbr3EA8cJTI$_$0,text,text,True
vbr3EA8cJTI$_$2,text,text,True
vbr3EA8cJTI$_$7,vision,text,False
vbr3EA8cJTI$_$6,text,text,True
wF8980oGklk$_$24,text,text,True
wF8980oGklk$_$25,text,text,True
wF8980oGklk$_$1,text,text,True
wF8980oGklk$_$0,vision,vision,True
