sample_id,video_id,clip_id,source_relpath,raw_text,alignment_text,prepare_status,duration_video_sec,duration_audio_sec,video_start_sec,audio_start_sec,width,height,fps,audio_sample_rate_source,audio_channels_source,n_time_bins,window_sec,text_word_count,aligned_word_count,alignment_word_coverage,alignment_status,audio_valid_bins,vision_frames_sampled,vision_valid_bins,text_dim,audio_dim,vision_dim,removed_bracket_annotations,error
-UuX1xuaiiE/0,-UuX1xuaiiE,0,-UuX1xuaiiE/0.mp4,^it's amazing to see their enthusiasm and their passion,it's amazing to see their enthusiasm and their passion,ok,3.633333,3.576009,0.0,0.0,1280,720,30/1,44100,2,8,0.5,9,9,1.0,complete,8,8,3,128,40,52,,
-UuX1xuaiiE/3,-UuX1xuaiiE,3,-UuX1xuaiiE/3.mp4,My goal is to become a human rights lawyer,my goal is to become a human rights lawyer,ok,4.130013,4.038005,0.0,0.0,1280,720,30/1,44100,2,9,0.5,9,9,1.0,complete,9,8,8,128,40,52,,
-UuX1xuaiiE/6,-UuX1xuaiiE,6,-UuX1xuaiiE/6.mp4,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",i ended up going to work for the us government as an intelligence analyst specializing in war crimes and human rights issues,ok,8.113997,7.943991,0.0,0.0,1280,720,30/1,44100,2,17,0.5,22,22,1.0,complete,16,16,16,128,40,52,,
-a55Q6RWvTA/3,-a55Q6RWvTA,3,-a55Q6RWvTA/3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",and if you clip coupons if you don't go out for dinner and movies and things of that nature and try to take up things in life that well they always say the best things in life are free reading a book going for a nice walk and of course combining exercise and various things of that nature where you're not spending money per se,ok,22.153971,22.083991,0.0,0.0,480,270,30/1,44100,2,45,0.5,65,65,1.0,complete,45,44,41,128,40,52,,
-aNfi7CP8vM/7,-aNfi7CP8vM,7,-aNfi7CP8vM/7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",maybe they have no political party affiliation they're not interested in politics they could care less about politics,ok,8.694987,8.538005,0.0,0.0,480,360,30/1,44100,2,18,0.5,18,18,1.0,complete,18,17,17,128,40,52,,
-aqamKhZ1Ec/0,-aqamKhZ1Ec,0,-aqamKhZ1Ec/0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",in 2008 there were very serious tribal warfare in kenya following a disputed election,ok,10.966667,10.89,0.0,0.0,1280,720,30/1,44100,2,22,0.5,14,14,1.0,complete,22,22,22,128,40,52,,
-dxfTGcXJoc/1,-dxfTGcXJoc,1,-dxfTGcXJoc/1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",for the 10th straight year some of kentucky's best and most innovative biotech companies and technologies were on display at the annual bio international convention which i and other state officials attended this week in chicago,ok,16.161003,16.019002,0.0,0.0,320,240,30/1,44100,2,33,0.5,36,36,1.0,complete,32,32,32,128,40,52,,
-dxfTGcXJoc/0,-dxfTGcXJoc,0,-dxfTGcXJoc/0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",this is governor steve beshear about kentucky our state is home to more than 1 500 bioscience and lifescience companies and more than 100 000 people who work for these firms in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices,ok,20.5,20.41,0.0,0.0,320,240,30/1,44100,2,41,0.5,42,42,1.0,complete,41,41,32,128,40,52,,
-dxfTGcXJoc/2,-dxfTGcXJoc,2,-dxfTGcXJoc/2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",an estimated 20 000 biotech scientists executives and industry experts from more than 50 nations were at the bio conference to learn about the latest scientific advances and to exchange ideas and establish business relationships,ok,16.697982,16.632993,0.0,0.0,320,240,30/1,44100,2,34,0.5,35,35,1.0,complete,34,33,33,128,40,52,,
-dxfTGcXJoc/6,-dxfTGcXJoc,6,-dxfTGcXJoc/6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,kentucky's participation at the annual bio international convention is the primary means by which our high tech companies and institutions can reach out to the global scientific community,ok,12.735026,12.628005,0.0,0.0,320,240,30/1,44100,2,26,0.5,28,28,1.0,complete,26,25,25,128,40,52,,
-egA8-b7-3M/26,-egA8-b7-3M,26,-egA8-b7-3M/26.mp4,We're updating it all the time and looking forward to your comments on our videos.,we're updating it all the time and looking forward to your comments on our videos,ok,6.03099,5.92,0.0,0.0,640,360,30/1,44100,2,13,0.5,15,15,1.0,complete,12,12,12,128,40,52,,
-egA8-b7-3M/17,-egA8-b7-3M,17,-egA8-b7-3M/17.mp4,"As you have more experience, you have more times exhibiting, you get to know more people.",as you have more experience you have more times exhibiting you get to know more people,ok,7.271029,7.095011,0.0,0.0,640,360,30/1,44100,2,15,0.5,16,16,1.0,complete,15,14,14,128,40,52,,
-egA8-b7-3M/18,-egA8-b7-3M,18,-egA8-b7-3M/18.mp4,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,it becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with,ok,8.386003,8.266009,0.0,0.0,640,360,30/1,44100,2,17,0.5,22,22,1.0,complete,17,17,17,128,40,52,,
-egA8-b7-3M/16,-egA8-b7-3M,16,-egA8-b7-3M/16.mp4,"Third, another big benefit of exhibiting is connecting with existing clients.",third another big benefit of exhibiting is connecting with existing clients,ok,5.538021,5.482993,0.0,0.0,640,360,30/1,44100,2,12,0.5,11,11,1.0,complete,11,11,11,128,40,52,,
-egA8-b7-3M/13,-egA8-b7-3M,13,-egA8-b7-3M/13.mp4,"What are you doing that's different?"" They always want an answer.",what are you doing that's different they always want an answer,ok,4.183984,4.023991,0.0,0.0,640,360,30/1,44100,2,9,0.5,11,11,1.0,complete,9,8,8,128,40,52,,
-egA8-b7-3M/1,-egA8-b7-3M,1,-egA8-b7-3M/1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,i started a successful legal nurse consulting business in 1989 i mentor nurses who want to become legal nurse consultants,ok,10.266016,10.156009,0.0,0.0,640,360,30/1,44100,2,21,0.5,20,20,1.0,complete,21,20,20,128,40,52,,
-egA8-b7-3M/6,-egA8-b7-3M,6,-egA8-b7-3M/6.mp4,First exhibiting is a wonderful opportunity to network with other legal vendors.,first exhibiting is a wonderful opportunity to network with other legal vendors,ok,6.264974,6.182993,0.0,0.0,640,360,30/1,44100,2,13,0.5,12,12,1.0,complete,13,12,12,128,40,52,,
-egA8-b7-3M/9,-egA8-b7-3M,9,-egA8-b7-3M/9.mp4,"Secondly, another goal of exhibiting  is building your company image.",secondly another goal of exhibiting is building your company image,ok,5.089974,4.936009,0.0,0.0,640,360,30/1,44100,2,11,0.5,10,10,1.0,complete,10,10,10,128,40,52,,
-egA8-b7-3M/20,-egA8-b7-3M,20,-egA8-b7-3M/20.mp4,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",now you've got a face that you can connect with a voice and that makes you closer to that client,ok,6.644987,6.475011,0.0,0.0,640,360,30/1,44100,2,14,0.5,20,20,1.0,complete,13,13,13,128,40,52,,
-iRBcNs9oI8/3,-iRBcNs9oI8,3,-iRBcNs9oI8/3.mp4,"Well, it is the secret of power pose",well it is the secret of power pose,ok,5.621,5.538005,0.0,0.0,1280,720,30000/1001,44100,2,12,0.5,8,8,1.0,complete,12,11,0,128,40,52,,
-iRBcNs9oI8/7,-iRBcNs9oI8,7,-iRBcNs9oI8/7.mp4,"Well, for starters, let's look at the word ""power""",well for starters let's look at the word power,ok,4.104,4.006009,0.0,0.0,1280,720,30000/1001,44100,2,9,0.5,9,9,1.0,complete,8,8,0,128,40,52,,
-iRBcNs9oI8/6,-iRBcNs9oI8,6,-iRBcNs9oI8/6.mp4,What is a power pose,what is a power pose,ok,2.903,2.820998,0.0,0.0,1280,720,30000/1001,44100,2,6,0.5,5,5,1.0,complete,6,6,0,128,40,52,,
-iRBcNs9oI8/9,-iRBcNs9oI8,9,-iRBcNs9oI8/9.mp4,Power is similar to strength,power is similar to strength,ok,3.416,3.373991,0.0,0.0,1280,720,30000/1001,44100,2,7,0.5,5,5,1.0,complete,7,7,0,128,40,52,,
-iRBcNs9oI8/8,-iRBcNs9oI8,8,-iRBcNs9oI8/8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",i've drawn this man here and if you can tell he has a lot of big muscles he looks very strong,ok,8.093,8.026009,0.0,0.0,1280,720,30000/1001,44100,2,17,0.5,21,21,1.0,complete,17,16,0,128,40,52,,
-lzEya4AM_4/5,-lzEya4AM_4,5,-lzEya4AM_4/5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",if it falls into oh any of those three categories inducing nausea and vomiting would be your next step,ok,7.675,7.57,0.0,0.0,470,360,30/1,44100,2,16,0.5,19,19,1.0,complete,16,15,0,128,40,52,,
-lzEya4AM_4/6,-lzEya4AM_4,6,-lzEya4AM_4/6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",if the product or poison is some type of petroleum product or corrosive product you would not attempt to induce vomiting and nausea as as the product burned on the way down it could cause damage and burning on the way back up,ok,14.791992,14.740998,0.0,0.0,470,360,30/1,44100,2,30,0.5,43,43,1.0,complete,30,29,0,128,40,52,,
-mJ2ud6oKI8/1,-mJ2ud6oKI8,1,-mJ2ud6oKI8/1.mp4,There are a dozen or more hands on techniques that we can do,there are a dozen or more hands on techniques that we can do,ok,6.103,6.053991,0.0,0.0,1280,720,30000/1001,44100,2,13,0.5,13,13,1.0,complete,13,12,0,128,40,52,,
-mJ2ud6oKI8/2,-mJ2ud6oKI8,2,-mJ2ud6oKI8/2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,so physical therapists and chiropractors will do joint manipulations and mobilizations,ok,5.731,5.701995,0.0,0.0,1280,720,30000/1001,44100,2,12,0.5,11,0,0.0,unavailable,12,11,0,128,40,52,,
-mJ2ud6oKI8/6,-mJ2ud6oKI8,6,-mJ2ud6oKI8/6.mp4,They are all very safe,they are all very safe,ok,2.257,2.229002,0.0,0.0,1280,720,30000/1001,44100,2,5,0.5,5,5,1.0,complete,5,4,4,128,40,52,,
-mJ2ud6oKI8/9,-mJ2ud6oKI8,9,-mJ2ud6oKI8/9.mp4,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",it's safe and the person will feel better later on but it's sort of like flossing your teeth for the first time,ok,7.033,6.909002,0.0,0.0,1280,720,30000/1001,44100,2,15,0.5,22,22,1.0,complete,14,14,14,128,40,52,,
-mJ2ud6oKI8/8,-mJ2ud6oKI8,8,-mJ2ud6oKI8/8.mp4,Sometimes we have to stretch that joint that is already irritated,sometimes we have to stretch that joint that is already irritated,ok,4.192,4.171995,0.0,0.0,1280,720,30000/1001,44100,2,9,0.5,11,11,1.0,complete,9,8,8,128,40,52,,
-mqbVkbCndg/0,-mqbVkbCndg,0,-mqbVkbCndg/0.mp4,"How, at a particular moment in time—our moment in time—are they limited",how at a particular moment in time our moment in time are they limited,ok,6.466667,6.385011,0.0,0.0,1280,720,30/1,44100,2,13,0.5,14,14,1.0,complete,13,13,13,128,40,52,,
-t217m2on-s/2,-t217m2on-s,2,-t217m2on-s/2.mp4,"But a good thing to do is yawning, chewing gum is effective.",but a good thing to do is yawning chewing gum is effective,ok,5.686003,5.63,0.0,0.0,480,270,30/1,44100,2,12,0.5,12,12,1.0,complete,12,11,11,128,40,52,,
-t217m2on-s/7,-t217m2on-s,7,-t217m2on-s/7.mp4,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",if you find that your ears consistently do this and you can't pop them often you'll definitely need to see a physician regarding those things it could be something more of a nasal infection or a sinus infection that he would need to deal with,ok,17.183008,17.026009,0.0,0.0,480,270,30/1,44100,2,35,0.5,45,45,1.0,complete,35,34,34,128,40,52,,
-tANM6ETl_M/3,-tANM6ETl_M,3,-tANM6ETl_M/3.mp4,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",the first place is either you have a prospect or a customer who's never done it before or they've never tried it,ok,6.758008,6.603991,0.0,0.0,1280,720,30/1,44100,2,14,0.5,22,22,1.0,complete,14,13,13,128,40,52,,
-tPCytz4rww/11,-tPCytz4rww,11,-tPCytz4rww/11.mp4,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",make sure that your using comps that are not larger no larger than twelve hundred square feet,ok,5.466992,5.378005,0.0,0.0,480,270,30/1,44100,2,11,0.5,17,17,1.0,complete,11,11,11,128,40,52,,
-tPCytz4rww/10,-tPCytz4rww,10,-tPCytz4rww/10.mp4,Say twenty percent so if you've got a thousand square foot condo.,say twenty percent so if you've got a thousand square foot condo,ok,4.788997,4.678005,0.0,0.0,480,270,30/1,44100,2,10,0.5,12,12,1.0,complete,10,9,9,128,40,52,,
-tPCytz4rww/12,-tPCytz4rww,12,-tPCytz4rww/12.mp4,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",no less than eight hundred squire feet and going to similar in similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities,ok,11.863997,11.736009,0.0,0.0,480,270,30/1,44100,2,24,0.5,26,26,1.0,complete,24,24,24,128,40,52,,
-tPCytz4rww/16,-tPCytz4rww,16,-tPCytz4rww/16.mp4,So make sure to get a through or to do a through cleaning of the property.,so make sure to get a through or to do a through cleaning of the property,ok,7.20599,7.139002,0.0,0.0,480,270,30/1,44100,2,15,0.5,16,16,1.0,complete,15,14,14,128,40,52,,
-tPCytz4rww/18,-tPCytz4rww,18,-tPCytz4rww/18.mp4,Do so and as well you'll also want to remove any clutter from that you've accumulated.,do so and as well you'll also want to remove any clutter from that you've accumulated,ok,6.644987,6.569002,0.0,0.0,480,270,30/1,44100,2,14,0.5,16,16,1.0,complete,14,13,13,128,40,52,,
-vxjVxOeScU/4,-vxjVxOeScU,4,-vxjVxOeScU/4.mp4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",you're going to talk about their life their marriage and usually how amazing it is that they've stayed together this long,ok,9.127018,9.037007,0.0,0.0,480,360,30/1,44100,2,19,0.5,21,21,1.0,complete,19,18,18,128,40,52,,
-wMB_hJL-3o/7,-wMB_hJL-3o,7,-wMB_hJL-3o/7.mp4,So if you have a loved one who is depressed those are some of the things that you should think about doing.,so if you have a loved one who is depressed those are some of the things that you should think about doing,ok,6.04401,5.976009,0.0,0.0,480,360,30/1,44100,2,13,0.5,22,22,1.0,complete,12,12,11,128,40,52,,
-wny0OAz3g8/1,-wny0OAz3g8,1,-wny0OAz3g8/1.mp4,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",and because they couldn't join unions many black workers couldn't get manufacturing or trade work which paid much better than service work,ok,6.84401,6.776009,0.0,0.0,1280,720,30/1,44100,2,14,0.5,22,22,1.0,complete,14,14,5,128,40,52,,
-wny0OAz3g8/0,-wny0OAz3g8,0,-wny0OAz3g8/0.mp4,trade labor unions didn’t allow Black workers to join,trade labor unions didn't allow black workers to join,ok,3.333333,3.273991,0.0,0.0,1280,720,30/1,44100,2,7,0.5,9,9,1.0,complete,7,7,5,128,40,52,,
-wny0OAz3g8/3,-wny0OAz3g8,3,-wny0OAz3g8/3.mp4,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,which then allowed the white workers and unions to justify their decision to not allow black workers into their union,ok,6.146029,6.1,0.0,0.0,1280,720,30/1,44100,2,13,0.5,20,20,1.0,complete,13,12,2,128,40,52,,
-wny0OAz3g8/2,-wny0OAz3g8,2,-wny0OAz3g8/2.mp4,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",and because they couldn't get these jobs black communities had more men out of work higher rates of poverty and more criminal behavior,ok,6.686979,6.522993,0.0,0.0,1280,720,30/1,44100,2,14,0.5,23,23,1.0,complete,14,13,11,128,40,52,,
-wny0OAz3g8/5,-wny0OAz3g8,5,-wny0OAz3g8/5.mp4,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",this is what's now known as racial formation theory a theory formalized by modern sociologists michael omi and howard winant,ok,6.911979,6.740998,0.0,0.0,1280,720,30/1,44100,2,14,0.5,20,20,1.0,complete,14,14,3,128,40,52,,
-wny0OAz3g8/7,-wny0OAz3g8,7,-wny0OAz3g8/7.mp4,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,omi and winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of european descent,ok,8.067969,7.910998,0.0,0.0,1280,720,30/1,44100,2,17,0.5,29,29,1.0,complete,16,16,2,128,40,52,,
-wny0OAz3g8/9,-wny0OAz3g8,9,-wny0OAz3g8/9.mp4,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",he explores why black and white americans tend to have such different outcomes in terms of income education and more,ok,6.213021,6.042993,0.0,0.0,1280,720,30/1,44100,2,13,0.5,20,20,1.0,complete,13,12,11,128,40,52,,
-571d8cVauQ/0,-571d8cVauQ,0,-571d8cVauQ/0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",this is rhett reiger white caspian studios on behalf of expert village,ok,5.066667,4.991995,0.0,0.0,486,360,30/1,44100,2,11,0.5,12,12,1.0,complete,10,11,0,128,40,52,,
-571d8cVauQ/5,-571d8cVauQ,5,-571d8cVauQ/5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",so very important to go out to the locations walk around talk with the owners if you can tell them what you're doing build a little excitement put a little glitz on there and let everybody knows this is a very valuable spot,ok,15.272982,15.115011,0.0,0.0,486,360,30/1,44100,2,31,0.5,43,43,1.0,complete,31,30,0,128,40,52,,
-I_e4mIh0yE/1,-I_e4mIh0yE,1,-I_e4mIh0yE/1.mp4,In the United States we don't punish failure to the degree to which failure is punished in Europe.,in the united states we don't punish failure to the degree to which failure is punished in europe,ok,7.622005,7.443991,0.0,0.0,640,360,30/1,44100,2,16,0.5,18,18,1.0,complete,15,15,15,128,40,52,,
-I_e4mIh0yE/3,-I_e4mIh0yE,3,-I_e4mIh0yE/3.mp4,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",it's perceived that you have actually learned something over the course of your carreer and that you won't make the mistake twice,ok,9.163021,8.995011,0.0,0.0,640,360,30/1,44100,2,19,0.5,22,22,1.0,complete,18,18,18,128,40,52,,
-UacrmKiTn4/10,-UacrmKiTn4,10,-UacrmKiTn4/10.mp4,"Because, if they are not in any way held accountable for reading the material they won't do it.",because if they are not in any way held accountable for reading the material they won't do it,ok,7.361979,7.241995,0.0,0.0,470,360,30/1,44100,2,15,0.5,18,18,1.0,complete,15,15,0,128,40,52,,
-UacrmKiTn4/4,-UacrmKiTn4,4,-UacrmKiTn4/4.mp4,Just given to their own devices they are not going to read the textbook.,just given to their own devices they are not going to read the textbook,ok,4.741016,4.680998,0.0,0.0,470,360,30/1,44100,2,10,0.5,14,14,1.0,complete,10,9,0,128,40,52,,
-hnBHBN8p5A/7,-hnBHBN8p5A,7,-hnBHBN8p5A/7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",picture this before we actually start hacking we're in a room formal setting,ok,7.372,7.308005,0.0,0.0,1280,720,24000/1001,44100,2,15,0.5,13,13,1.0,complete,15,15,0,128,40,52,,
-hnBHBN8p5A/6,-hnBHBN8p5A,6,-hnBHBN8p5A/6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",discussion how to discuss ideas and opinions more effectively than a native speaker,ok,6.401,6.332993,0.0,0.0,1280,720,24660000/1028527,44100,2,13,0.5,13,13,1.0,complete,13,13,0,128,40,52,,
-qDkUB0GgYY/6,-qDkUB0GgYY,6,-qDkUB0GgYY/6.mp4,"We always love to hear what you say, and like and share this video as well.",we always love to hear what you say and like and share this video as well,ok,4.677995,4.613991,0.0,0.0,360,360,30/1,44100,1,10,0.5,16,16,1.0,complete,10,9,0,128,40,52,,
-uywlfIYOS8/4,-uywlfIYOS8,4,-uywlfIYOS8/4.mp4,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",and then from a brand point of view we need to make sure we're driving the relevant insight,ok,6.044987,5.881995,0.0,0.0,480,270,30/1,44100,2,13,0.5,18,18,1.0,complete,12,12,12,128,40,52,,
-6rXp3zJ3kc/8,-6rXp3zJ3kc,8,-6rXp3zJ3kc/8.mp4,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value,ok,12.805013,12.738005,0.0,0.0,480,270,30/1,44100,2,26,0.5,34,34,1.0,complete,26,26,26,128,40,52,,
-9y-fZ3swSY/0,-9y-fZ3swSY,0,-9y-fZ3swSY/0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",is you can say hey i really like baby skin they are so soft they don't have any hair on their face,ok,6.833333,6.757007,0.0,0.0,1280,720,30/1,44100,2,14,0.5,22,22,1.0,complete,14,14,14,128,40,52,,
-9y-fZ3swSY/4,-9y-fZ3swSY,4,-9y-fZ3swSY/4.mp4,I’ve seen this in US or in the US,i've seen this in us or in the us,ok,2.821029,2.665011,0.0,0.0,1280,720,30/1,44100,2,6,0.5,9,9,1.0,complete,6,6,6,128,40,52,,
-9y-fZ3swSY/8,-9y-fZ3swSY,8,-9y-fZ3swSY/8.mp4,That’s a more decent and more polite way to call a lady,that's a more decent and more polite way to call a lady,ok,4.988997,4.917007,0.0,0.0,1280,720,30/1,44100,2,10,0.5,12,12,1.0,complete,10,10,3,128,40,52,,
